,EncryPatchName
0,_19333.75442500427_-56237.52567147739.png
1,_-12781.39331439383_-85981.64008404684.png
2,_-52332.51707475407_-41816.518018660165.png
3,_-46275.67971426878_42045.975764865565.png
4,_92831.81477971781_4197.328436869071.png
5,_-33043.27413804802_62646.852911992806.png
6,_148293.49567763007_3665.747865230058.png
7,_-8976.675847312355_49166.49171578855.png
8,_-47301.150058542116_23509.266514620707.png
9,_897.0000000000274_217.00000000002046.png
10,_-66676.18323466198_-23090.7079017659.png
11,_129215.19587540727_-26984.877116362928.png
12,_-6214.078609260545_987.2223619556539.png
13,_-93136.57560411753_-16876.740445874457.png
14,_-86519.54939294141_103834.54045501002.png
15,_71757.03876081744_-42162.50598716021.png
16,_27950.615050125565_-32176.430316886708.png
17,_-48662.732588125946_1316.9946007597252.png
18,_17322.942929001532_-56958.56819723858.png
19,_906.9999999998827_226.99999999994884.png
20,_-15596.041542493083_72602.678582677.png
21,_-81389.73994693757_-57878.660626623016.png
22,_33733.19370792462_-54497.891444255874.png
23,_-37061.82529952135_-27401.217889292668.png
24,_-112501.52697597918_-52955.981024884735.png
25,_-92541.19355244625_-32973.4649165165.png
26,_-22801.87452027641_-63342.40414503815.png
27,_6622.10588368024_-25576.08103285024.png
28,_-93446.8532306852_11007.488502842625.png
29,_917.0000000000236_237.00000000001586.png
30,_113309.4704553989_-35915.55548320041.png
31,_-50641.58551601347_-27398.775356992766.png
32,_67920.80091747618_63942.38908175382.png
33,_-42762.352586679895_-59311.87359563948.png
34,_26323.170303737847_9426.93118610929.png
35,_130321.7620252767_-38530.42621645152.png
36,_-30433.61170539171_35659.433321386285.png
37,_47679.58388577131_-16363.486878323904.png
38,_-40329.45984342125_74353.05339380998.png
39,_927.0000000000682_246.99999999998772.png
40,_143283.99042604532_85619.0292201451.png
41,_18212.62875195434_53290.71010650852.png
42,_-46025.17215281725_-22931.14472095445.png
43,_-50394.75712251712_-37369.76863375919.png
44,_1293.1904059483802_56605.728382419475.png
45,_-76467.68759606796_70842.92638388385.png
46,_-50134.72893674762_20493.848035314873.png
47,_-31750.79341115893_1886.5653176815265.png
48,_95941.97917256862_22917.85425823398.png
